Instance,Algorithm,P1_Name,P1_Val,P2_Name,P2_Val,BestCost,Evaluations,TimeMicros
data\chr20c.dat,SA,Alpha,0.8,L_Factor,2,19334,15580,2121
data\chr20c.dat,SA,Alpha,0.8,L_Factor,5,17558,38950,5361
data\chr20c.dat,SA,Alpha,0.8,L_Factor,8,20212,50160,7046
data\chr20c.dat,SA,Alpha,0.85,L_Factor,2,18824,21660,2900
data\chr20c.dat,SA,Alpha,0.85,L_Factor,5,20552,52250,6923
data\chr20c.dat,SA,Alpha,0.85,L_Factor,8,19662,69920,9881
data\chr20c.dat,SA,Alpha,0.9,L_Factor,2,20552,22420,2930
data\chr20c.dat,SA,Alpha,0.9,L_Factor,5,19658,42750,5724
data\chr20c.dat,SA,Alpha,0.9,L_Factor,8,17164,95760,13081
data\chr20c.dat,SA,Alpha,0.95,L_Factor,2,19958,33440,4975
data\chr20c.dat,SA,Alpha,0.95,L_Factor,5,21450,83600,10974
data\chr20c.dat,SA,Alpha,0.95,L_Factor,8,17376,177840,23651
data\chr20c.dat,SA,Alpha,0.99,L_Factor,2,17022,171000,22522
data\chr20c.dat,SA,Alpha,0.99,L_Factor,5,14992,425600,58473
data\chr20c.dat,SA,Alpha,0.99,L_Factor,8,15804,696160,101039
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,10,20568,11514,3128
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,4,19612,10032,2605
data\chr20c.dat,TS,P_Factor,1,Tenure_Factor,2,24114,25194,6670
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,10,17064,18810,4959
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,4,20214,24130,6451
data\chr20c.dat,TS,P_Factor,2,Tenure_Factor,2,19982,28614,7525
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,10,27022,58558,13919
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,4,15672,91086,16683
data\chr20c.dat,TS,P_Factor,5,Tenure_Factor,2,17000,84968,16112
