Instance, OptCost, Algorithm, Run, InitCost, FinalCost, Solution
els19,17212548,H,1,57198932,55494836,18 11 13 9 8 1 2 3 5 17 10 4 7 16 14 19 12 6 15
els19,17212548,G,1,57198932,18039214,15 16 8 7 12 18 13 17 6 11 10 5 9 4 14 19 1 2 3
els19,17212548,S,1,57198932,23686240,1 2 3 17 10 13 14 18 15 9 7 19 5 16 11 12 8 4 6
els19,17212548,RS,1,57198932,33874650,4 3 8 14 15 18 7 11 9 16 12 13 17 19 10 5 1 6 2
els19,17212548,RW,1,57198932,32354914,1 2 18 5 16 10 17 4 12 14 13 11 15 7 19 6 9 3 8
els19,17212548,H,2,52966798,45709970,14 11 13 9 8 3 1 2 10 12 5 4 7 16 19 18 17 6 15
els19,17212548,G,2,52966798,27105676,10 1 2 9 15 5 18 4 7 16 8 6 12 11 14 19 17 3 13
els19,17212548,S,2,52966798,18129306,15 16 8 7 19 18 13 17 6 14 10 5 9 4 11 12 1 2 3
els19,17212548,RS,2,52966798,32110438,16 17 12 15 8 9 6 5 19 4 7 3 18 14 13 10 2 1 11
els19,17212548,RW,2,52966798,32348906,8 16 15 10 14 18 4 12 1 19 2 13 9 3 5 7 6 11 17
els19,17212548,H,3,49557154,50713334,18 11 14 3 8 2 1 9 15 12 5 4 7 16 19 13 17 10 6
els19,17212548,G,3,49557154,20568108,9 10 5 6 12 18 8 17 15 11 4 13 7 16 14 19 1 2 3
els19,17212548,S,3,49557154,19686668,11 8 6 12 16 18 10 17 7 15 13 5 14 4 9 19 1 2 3
els19,17212548,RS,3,49557154,32246424,10 15 16 14 12 9 4 3 1 18 17 13 7 5 11 6 8 19 2
els19,17212548,RW,3,49557154,30643676,18 6 14 9 8 19 13 2 7 15 10 4 16 3 11 5 17 1 12
els19,17212548,H,4,63496204,45197218,18 11 13 9 7 3 2 4 10 12 5 1 8 16 14 19 17 6 15
els19,17212548,G,4,63496204,19721998,11 7 10 12 16 18 13 17 6 15 4 5 9 8 19 14 1 2 3
els19,17212548,S,4,63496204,21302550,2 1 17 3 4 5 19 12 14 8 9 11 13 7 6 18 15 16 10
els19,17212548,RS,4,63496204,39844292,17 9 3 8 13 6 11 2 15 12 16 18 4 7 19 10 14 5 1
els19,17212548,RW,4,63496204,33977992,5 6 8 4 18 11 3 10 14 13 1 12 19 17 15 16 2 9 7
els19,17212548,H,5,44826434,60183878,18 11 13 8 7 2 1 3 5 9 10 4 12 16 14 19 17 6 15
els19,17212548,G,5,44826434,21037182,11 12 9 7 16 14 5 13 8 15 3 17 6 4 18 19 10 1 2
els19,17212548,S,5,44826434,21796136,11 8 6 14 16 18 5 4 10 15 1 13 12 7 19 9 17 3 2
els19,17212548,RS,5,44826434,34793204,8 10 2 1 6 11 18 13 12 17 3 14 4 9 7 19 16 15 5
els19,17212548,RW,5,44826434,27547184,1 9 2 4 17 10 8 19 14 13 11 12 3 7 15 16 5 6 18
els19,17212548,H,6,45350634,37523306,18 11 17 8 9 4 2 3 10 12 5 1 7 15 14 19 13 6 16
els19,17212548,G,6,45350634,23527862,1 2 3 17 16 13 9 6 19 15 18 10 8 14 11 12 4 5 7
els19,17212548,S,6,45350634,25025564,16 15 8 17 1 13 18 19 5 2 10 6 3 4 11 12 14 7 9
els19,17212548,RS,6,45350634,31388730,16 8 19 15 5 7 13 1 4 6 18 3 9 17 11 12 14 10 2
els19,17212548,RW,6,45350634,32456278,17 12 3 16 9 15 14 5 18 8 13 10 4 7 6 11 2 1 19
els19,17212548,H,7,51977190,64563260,11 18 14 3 8 1 2 9 5 17 10 4 7 16 19 13 12 6 15
els19,17212548,G,7,51977190,30688970,12 11 14 19 16 18 10 9 17 15 5 13 8 3 1 2 7 4 6
els19,17212548,S,7,51977190,17937024,15 16 8 19 14 18 10 17 4 11 5 13 12 6 9 7 1 2 3
els19,17212548,RS,7,51977190,32752790,11 8 12 13 16 18 17 9 5 15 1 14 4 7 10 19 2 3 6
els19,17212548,RW,7,51977190,32449992,9 15 16 6 19 18 12 17 7 10 1 4 14 2 11 8 5 3 13
els19,17212548,H,8,38851112,65377672,18 11 13 8 3 1 2 9 5 7 10 4 12 16 14 19 17 15 6
els19,17212548,G,8,38851112,24376958,11 13 17 12 6 8 9 19 5 4 2 10 3 7 18 14 15 16 1
els19,17212548,S,8,38851112,22495350,12 11 9 18 7 19 13 8 2 6 3 5 10 1 4 14 16 15 17
els19,17212548,RS,8,38851112,36333848,14 9 12 16 15 18 1 19 7 6 4 2 10 8 13 17 11 3 5
els19,17212548,RW,8,38851112,31805582,2 3 14 1 4 8 6 17 7 12 15 18 11 9 19 10 5 13 16
els19,17212548,H,9,58858498,56539714,18 11 17 3 8 2 1 9 5 12 10 4 7 16 14 19 13 6 15
els19,17212548,G,9,58858498,23393666,1 2 3 17 16 13 18 4 19 15 7 9 8 14 11 12 5 10 6
els19,17212548,S,9,58858498,24027262,12 8 6 11 14 18 1 13 10 9 17 2 7 5 4 19 16 15 3
els19,17212548,RS,9,58858498,35002878,3 2 1 8 17 18 12 14 11 10 15 4 5 7 9 13 6 16 19
els19,17212548,RW,9,58858498,35059762,15 10 16 9 18 6 14 1 13 19 3 8 7 11 17 4 2 12 5
els19,17212548,H,10,52232498,36626452,18 11 13 9 7 5 2 3 4 12 10 1 8 16 19 14 17 6 15
els19,17212548,G,10,52232498,21492862,2 1 17 3 4 8 19 18 9 5 10 14 13 7 15 16 11 12 6
els19,17212548,S,10,52232498,17367328,11 12 8 19 14 18 13 17 6 9 10 5 7 4 16 15 1 2 3
els19,17212548,RS,10,52232498,32641164,12 4 5 16 14 15 6 11 7 13 3 18 9 10 19 17 2 1 8
els19,17212548,RW,10,52232498,32915112,2 1 9 14 18 3 12 6 13 11 5 7 8 17 15 16 10 4 19
els19,17212548,H,11,73360448,66095582,11 18 14 9 7 2 1 3 10 17 5 4 8 15 13 19 12 6 16
els19,17212548,G,11,73360448,20316024,1 2 3 17 8 13 9 6 12 18 7 10 4 11 19 14 15 16 5
els19,17212548,S,11,73360448,17937024,15 16 8 19 14 18 10 17 4 11 5 13 12 6 9 7 1 2 3
els19,17212548,RS,11,73360448,32562070,11 4 7 1 3 17 18 13 12 5 19 10 2 14 6 9 15 16 8
els19,17212548,RW,11,73360448,34066622,3 2 5 17 18 8 14 15 12 19 11 7 1 10 13 4 16 9 6
els19,17212548,H,12,44773186,60708818,18 11 13 9 8 2 1 3 4 12 10 5 7 15 14 19 17 6 16
els19,17212548,G,12,44773186,23499972,9 5 10 7 14 6 13 3 4 11 15 17 12 8 18 19 1 2 16
els19,17212548,S,12,44773186,23499972,9 5 10 7 14 6 13 3 4 11 15 17 12 8 19 18 1 2 16
els19,17212548,RS,12,44773186,36601556,5 18 14 4 11 12 9 17 7 13 1 3 2 8 16 15 6 10 19
els19,17212548,RW,12,44773186,33503098,11 7 4 15 16 8 1 13 6 10 5 9 19 17 18 14 12 2 3
